	mcwl [m]    	eta_mean [m]	No.waves    	Hmean [m]   	Tmean [s]   	Lmean [m]   	Hs [m]      	T_s [s]     	L_s [m]     	T_Hs [s]    	L_Hs [m]    	Hrms [m]    	Hrms_std [m]	Hmax [m]    	T_Hmax [s]  	Lmax [m]    	Sxx_TL2nd [J]	Sxx_TL_eta [J]	Sxx_P18 [J] 	Sxx_P22 [J] 	eta_TL2nd [m]	eta_P18 [m] 	eta_P22 [m] 	h0 [m]      	d [m]       	Hmean/h0    	Hs/h0       	Hrms/h0     
06	0.0044859482	-0.0022481056	232.0000000000	0.0853363720	1.2000804509	2.1106445148	0.0863399929	1.1992270291	2.1081813627	1.2025678197	2.1178227343	0.0853412625	0.1188394945	0.0876082803	1.2016329106	2.1151248581	6.4120958692	6.4120958692	13.6980827319	16.0724170721	-0.0022481056	-0.0022481056	-0.0022481056	0.5800000000	0.5777518944	0.1471316759	0.1488620567	0.1471401077
07	0.0072134737	-0.0025580625	232.0000000000	0.0849955757	1.2001781151	1.9960260250	0.0872337204	1.1992222418	1.9936483126	1.2036961150	2.0047737247	0.0850236226	0.1171446772	0.0884758154	1.2046038968	2.0070301449	7.4099185012	8.1670963098	13.9831352336	16.4068786741	-0.0024243346	-0.0022984497	-0.0023071760	0.4479867987	0.4454287362	0.1897278580	0.1947238639	0.1897904644
08	0.0065958023	-0.0022554259	232.0000000000	0.0846894163	1.2001725931	1.9903368831	0.0863116349	1.1995245437	1.9887357331	1.2038516399	1.9994234876	0.0847024391	0.1173198131	0.0886318242	1.1924841760	1.9713297607	7.4023555135	6.8460006582	13.6890860662	16.0618609844	-0.0024226026	-0.0022311282	-0.0022281839	0.4429862986	0.4407308728	0.1911784101	0.1948404165	0.1912078079
09	0.0008893385	-0.0017743176	232.0000000000	0.0814576674	1.2001899560	1.9845906254	0.0843751625	1.2000309380	1.9842004250	1.2032105057	1.9920004863	0.0814917184	0.1170264924	0.0867014007	1.1938794061	1.9690976663	6.8910635989	4.7679755823	13.0817249105	15.3492238950	-0.0023041824	-0.0020905185	-0.0020632030	0.4379857986	0.4362114810	0.1859824398	0.1926436035	0.1860601844
10	0.0074061235	-0.0032442850	232.0000000000	0.0835052645	1.2001745837	1.8698728556	0.0847579481	1.1989812518	1.8672954541	1.2040037494	1.8781394105	0.0835126161	0.1170295652	0.0871064457	1.1926678582	1.8536501194	8.0541541862	11.0520206916	13.2006901079	15.4888097266	-0.0025765841	-0.0021183671	-0.0020958766	0.3549774977	0.3517332128	0.2352410085	0.2387699181	0.2352617184
11	0.0066009785	-0.0028361647	232.0000000000	0.0845197485	1.2002040102	1.8617720910	0.0856474956	1.2000966070	1.8615421418	1.2037703063	1.8694049213	0.0845261303	0.1176193879	0.0868174275	1.1961733275	1.8531393237	8.3054231405	9.6452086360	13.4792306317	15.8156306079	-0.0026493399	-0.0021989147	-0.0021903798	0.3499769977	0.3471408330	0.2415008675	0.2447232136	0.2415191022
12	0.0004734135	-0.0022227794	232.0000000000	0.0858187428	1.2002118941	1.8534644289	0.0871454109	1.1992560067	1.8514356220	1.2040743132	1.8616585332	0.0858276611	0.1183889088	0.0893508297	1.1937482506	1.8397388257	8.6190759696	7.5584437310	13.9548383867	16.3736770404	-0.0027414856	-0.0023384590	-0.0023541078	0.3449764976	0.3427537182	0.2487669258	0.2526126025	0.2487927778
13	0.0057732423	-0.0033250966	232.0000000000	0.0799733582	1.2001864287	1.7091533880	0.0820746601	1.1996119579	1.7081002747	1.2042134782	1.7165328661	0.0799930267	0.1130251949	0.0849723587	1.1956356061	1.7008080646	8.2559241973	11.2611837410	12.3780990337	14.5236361996	-0.0026332104	-0.0018689004	-0.0018031338	0.2709690969	0.2676440004	0.2951382986	0.3028930642	0.2952108841
14	0.0055409041	-0.0031298940	232.0000000000	0.0802808659	1.2001771874	1.6977822503	0.0820254392	1.1997524279	1.6970122604	1.2044799341	1.7055790523	0.0802944630	0.1135616752	0.0837116916	1.1996043360	1.6967437915	8.3751315690	10.7491749267	12.3632569695	14.5062215109	-0.0026785408	-0.0018632725	-0.0017965320	0.2659685969	0.2628387028	0.3018434012	0.3084027217	0.3018945242
15	0.0003099226	-0.0025531971	232.0000000000	0.0820752821	1.2001710971	1.6861862987	0.0835068954	1.1994977161	1.6849794074	1.2053254616	1.6954199562	0.0820850280	0.1144828467	0.0853133521	1.1947663045	1.6764955607	8.8122440553	9.2636790668	12.8138738344	15.0349452990	-0.0028479450	-0.0020373713	-0.0020007563	0.2609680968	0.2584148997	0.3145031256	0.3199889045	0.3145404706
16	0.0076712047	-0.0038442063	232.0000000000	0.0873439553	1.2002193262	1.6623849609	0.0888391546	1.1996738105	1.6614298449	1.2049405653	1.6706476346	0.0873543278	0.1228982135	0.0904693036	1.1954918025	1.6541049717	10.1142151458	12.5331792535	14.5025576843	17.0163343496	-0.0033626341	-0.0027028440	-0.0027814673	0.2509670967	0.2471228905	0.3480295085	0.3539872586	0.3480708387
17	0.0066056069	-0.0037130061	232.0000000000	0.0878030376	1.2001180853	1.6498955766	0.0892165497	1.1984240729	1.6469646853	1.2055858443	1.6593502158	0.0878123238	0.1226756857	0.0931375540	1.1895121699	1.6315326249	10.2886432494	12.2154319162	14.6260352235	17.1612146622	-0.0034345166	-0.0027535944	-0.0028410333	0.2459665967	0.2422535906	0.3569713887	0.3627181533	0.3570091428
18	-0.0003383705	-0.0030690608	232.0000000000	0.0889248901	1.2001385880	1.6373628607	0.0903250581	1.1987729839	1.6350289406	1.2059514047	1.6472918044	0.0889340430	0.1222866463	0.0922701239	1.1920561332	1.6235419863	10.6239850529	10.6866213299	14.9917477664	17.5903173793	-0.0035756027	-0.0029070274	-0.0030211260	0.2409660966	0.2378970358	0.3690348616	0.3748455046	0.3690728458
19	0.0048099380	-0.0028485829	232.0000000000	0.0838284299	1.2001987935	1.6141742078	0.0849543067	1.1988523862	1.6119245183	1.2052644547	1.6226341823	0.0838349868	0.1156395482	0.0865627790	1.1949043659	1.6053251444	9.5554327117	10.1725912916	13.2619250204	15.5606586906	-0.0031163011	-0.0021655765	-0.0021507398	0.2319651965	0.2291166136	0.3613836521	0.3662372978	0.3614119190
20	0.0048511589	-0.0027650778	232.0000000000	0.0839353680	1.2001834333	1.6008256904	0.0856447306	1.1994863497	1.5996759167	1.2046779429	1.6082360587	0.0839489640	0.1159591526	0.0883915920	1.1932863785	1.5894442868	9.6438287248	9.9850900870	13.4783603535	15.8146094814	-0.0031557149	-0.0022616811	-0.0022634953	0.2269646965	0.2241996186	0.3698168449	0.3773482483	0.3698767488
21	0.0003963303	-0.0024902352	232.0000000000	0.0825998658	1.2001596615	1.5871802932	0.0843465207	1.1990403122	1.5853580801	1.2060890525	1.5968278312	0.0826144858	0.1143296590	0.0872864699	1.1889303119	1.5688859119	9.4017220911	9.3812062522	13.0728450389	15.3388048457	-0.0030453339	-0.0020775345	-0.0020474281	0.2219641964	0.2194739612	0.3721314837	0.3800005681	0.3721973503
22	0.0048267155	-0.0031235973	231.0000000000	0.0841951238	1.2001631746	1.5590880640	0.0857129706	1.1994007986	1.5578801955	1.2046968602	1.5662682676	0.0842060418	0.1153700804	0.0880713390	1.1975898964	1.5550105642	9.8993951095	10.7434961581	13.4998474631	15.8398210234	-0.0032773010	-0.0022756858	-0.0022798938	0.2119631963	0.2088395990	0.3972157681	0.4043766657	0.3972672767
23	0.0045205010	-0.0029677099	231.0000000000	0.0842886481	1.2001684981	1.5445865957	0.0856225575	1.1996522937	1.5437801189	1.2045499716	1.5514294990	0.0842971752	0.1148835738	0.0877855479	1.1964864726	1.5388327995	9.9876771071	10.4244464470	13.4713822620	15.8064218541	-0.0033204672	-0.0022618339	-0.0022636407	0.2069626963	0.2039949864	0.4072649302	0.4137100989	0.4073061314
24	0.0002681865	-0.0026733240	232.0000000000	0.0838575890	1.2000862862	1.5296299490	0.0852546379	1.1995762362	1.5288443817	1.2056857082	1.5382504065	0.0838672061	0.1139823920	0.0880602316	1.2022110966	1.5329019353	9.9513917982	9.8359132227	13.3558580945	15.6708734975	-0.0033022858	-0.0022042477	-0.0021960723	0.2019621962	0.1992888722	0.4152142856	0.4221316637	0.4152619039
25	0.0045757376	-0.0033339312	232.0000000000	0.0836657832	1.2001523677	1.5006356591	0.0849093969	1.1985803322	1.4982812333	1.2060304247	1.5094348115	0.0836738450	0.1141717423	0.0866624885	1.2060589277	1.5094774625	10.0320820145	11.1261245909	13.2479072723	15.5442111995	-0.0033437312	-0.0021491051	-0.0021313742	0.1924612461	0.1891273149	0.4347149613	0.4411765931	0.4347568492
26	0.0042219968	-0.0032359026	232.0000000000	0.0835601775	1.2001781469	1.4848545693	0.0847778621	1.1983806942	1.4822032623	1.2057802348	1.4931138593	0.0835673935	0.1139177805	0.0872672671	1.1987266965	1.4827136767	10.0735251204	10.9444301870	13.2068939029	15.4960888461	-0.0033660919	-0.0021271151	-0.0021055751	0.1874607461	0.1842248434	0.4457475990	0.4522432771	0.4457860923
27	0.0000019717	-0.0029203122	232.0000000000	0.0839300295	1.2001725590	1.4686623453	0.0853830680	1.1981715636	1.4657565161	1.2064867983	1.4778269666	0.0839403864	0.1135940639	0.0878943888	1.1932955854	1.4586725210	10.2304985584	10.3746510484	13.3961277117	15.7181231817	-0.0034530982	-0.0022313013	-0.0022278060	0.1824602460	0.1795399338	0.4599907724	0.4679543618	0.4600475351
28	0.0035992046	-0.0031740720	232.0000000000	0.0873103337	1.2001762252	1.4351526898	0.0889270818	1.1985564772	1.4328756055	1.2057885733	1.4430391991	0.0873234506	0.1187470393	0.0907223815	1.1976235898	1.4315639228	11.2188035508	10.8211478411	14.5312792674	17.0500343404	-0.0040164583	-0.0028739813	-0.0029818693	0.1724592459	0.1692851740	0.5062664702	0.5156411377	0.5063425281
29	0.0032148028	-0.0030134755	232.0000000000	0.0882716297	1.2002027246	1.4178292917	0.0896797510	1.1983517245	1.4152705505	1.2058635224	1.4256510359	0.0882811516	0.1207313461	0.0916931956	1.1996108014	1.4170111047	11.5433996597	10.5547139732	14.7783026106	17.3398750631	-0.0042130913	-0.0030226144	-0.0031563764	0.1674587459	0.1644452704	0.5271246316	0.5355333968	0.5271814925
30	-0.0005986056	-0.0025628337	232.0000000000	0.0878954251	1.2002138714	1.4000609476	0.0894328168	1.1993004900	1.3988200574	1.2058048933	1.4076538674	0.0879065508	0.1199071653	0.0914855731	1.1834037330	1.3772018472	11.5211127788	9.8284619994	14.6970302019	17.2445154369	-0.0041991606	-0.0029721818	-0.0030971540	0.1624582458	0.1598954121	0.5410339418	0.5504972451	0.5411024250
31	0.0030449879	-0.0032199529	232.0000000000	0.0852364984	1.2001591567	1.3630825919	0.0869607766	1.1982665185	1.3606022929	1.2061452497	1.3709239678	0.0852522036	0.1134808848	0.0890933826	1.1973766563	1.3594359510	10.9782342749	10.8581712516	13.8957690323	16.3043689978	-0.0038491353	-0.0024595366	-0.0024951786	0.1524572457	0.1492372929	0.5590846011	0.5703945142	0.5591876148
32	0.0031089525	-0.0032365492	232.0000000000	0.0847299088	1.2002794264	1.3440768806	0.0867125599	1.1984597653	1.3417367814	1.2063223202	1.3518448399	0.0847468985	0.1125014550	0.0884627439	1.1927568161	1.3343997730	10.9201930210	10.8824443291	13.8165554096	16.2114250139	-0.0038092824	-0.0024056500	-0.0024319366	0.1474567457	0.1442201965	0.5746085633	0.5880542090	0.5747237813
33	-0.0000329161	-0.0030243882	232.0000000000	0.0839881890	1.2001787373	1.3242858101	0.0858798780	1.1989291956	1.3227098424	1.2062157036	1.3318969900	0.0840059218	0.1112303489	0.0892056549	1.1935460817	1.3159181136	10.8002541613	10.5825789946	13.5524746972	15.9015703114	-0.0037240847	-0.0022198776	-0.0022139242	0.1424562456	0.1394318575	0.5895718270	0.6028509147	0.5896963059
34	0.0020536519	-0.0035383977	232.0000000000	0.0813660757	1.2001781727	1.2706455502	0.0831867910	1.1993742826	1.2696845501	1.2083333897	1.2803904709	0.0813829015	0.1046772435	0.0854697469	1.2078444932	1.2798064838	10.3107038074	11.2849517662	12.7158240735	14.9199002462	-0.0033640158	-0.0016111136	-0.0014996714	0.1294549455	0.1259165478	0.6285281372	0.6425926079	0.6286581113
35	0.0022657953	-0.0036991975	232.0000000000	0.0810924486	1.2001900589	1.2489833561	0.0829987198	1.1977971923	1.2461846141	1.2107059288	1.2612756834	0.0811123796	0.1037822323	0.0860393476	1.2013882660	1.2503845708	10.3087031820	11.4833797169	12.6583924240	14.8525137775	-0.0033623968	-0.0015652744	-0.0014459335	0.1244544454	0.1207552480	0.6515833829	0.6669004028	0.6517435300
36	0.0001518246	-0.0035918249	232.0000000000	0.0804857609	1.2001655611	1.2266498124	0.0827413007	1.1990208937	1.2253411375	1.2129534030	1.2412609793	0.0805110495	0.1033034669	0.0859908747	1.2043206405	1.2313991207	10.2214935988	11.3563123842	12.5799946284	14.7605270307	-0.0032889091	-0.0015001782	-0.0013696281	0.1194539454	0.1158621205	0.6737806829	0.6926627703	0.6739923848
37	0.0028362803	-0.0040215336	232.0000000000	0.0856494963	1.2001818091	1.1800224176	0.0887812714	1.1974748917	1.1770730247	1.2117678436	1.1926389911	0.0856977091	0.1046631815	0.0943128701	1.1969250917	1.1764738958	11.7269691105	11.8442341113	14.4836655531	16.9941675824	-0.0046113120	-0.0031469960	-0.0032997581	0.1094529453	0.1054314116	0.7825234493	0.8111364309	0.7829639380
38	0.0005702797	-0.0029417868	232.0000000000	0.0839033367	1.2002517055	1.1556717095	0.0870117674	1.1988251831	1.1541568082	1.2108785764	1.1669516962	0.0839533846	0.1031503585	0.0935905159	1.2041154954	1.1597740324	11.3272229497	10.7285880312	13.9120698014	16.3234952336	-0.0042222525	-0.0025983441	-0.0026550801	0.1044524452	0.1015106584	0.8032682865	0.8330275771	0.8037474315
39	-0.0013533988	-0.0028460512	232.0000000000	0.0789006539	1.2001722641	1.1303636120	0.0822707506	1.1982675701	1.1283943049	1.2141867619	1.1448450239	0.0789637075	0.0979035649	0.0899416198	1.1970674099	1.1271532876	10.0817410218	10.6333478937	12.4373165349	14.5931180676	-0.0029542959	-0.0011209160	-0.0009205983	0.0994519452	0.0966058940	0.7933545568	0.8272412419	0.7939885676
