	mcwl [m]    	eta_mean [m]	No.waves    	Hmean [m]   	Tmean [s]   	Lmean [m]   	Hs [m]      	T_s [s]     	L_s [m]     	T_Hs [s]    	L_Hs [m]    	Hrms [m]    	Hrms_std [m]	Hmax [m]    	T_Hmax [s]  	Lmax [m]    	Sxx_TL2nd [J]	Sxx_TL_eta [J]	Sxx_P18 [J] 	Sxx_P22 [J] 	eta_TL2nd [m]	eta_P18 [m] 	eta_P22 [m] 	h0 [m]      	d [m]       	Hmean/h0    	Hs/h0       	Hrms/h0     
06	0.0040358159	-0.0034701450	111.0000000000	0.1006508745	2.5000909510	5.5908420008	0.1020996908	2.5009011015	5.5928956504	2.5121403032	5.6213778635	0.1006588771	0.1319386031	0.1033518432	2.5217234761	5.6456516680	15.6907550236	15.6907550236	19.1551087076	22.4753275502	-0.0034701450	-0.0034701450	-0.0034701450	0.5800000000	0.5765298550	0.1735359905	0.1760339496	0.1735497880
07	0.0025450830	-0.0038672861	111.0000000000	0.0928371390	2.4997107561	4.9874106058	0.0950265974	2.5081752557	5.0060126557	2.5232644275	5.0391591652	0.0928584377	0.1200630867	0.0980042040	2.5299387265	5.0538148847	13.8888875085	17.9346425592	16.5930463009	19.4691743264	-0.0031512362	-0.0030166909	-0.0029380921	0.4479867987	0.4441195126	0.2072318632	0.2121191911	0.2072794064
08	-0.0018012645	-0.0027634284	111.0000000000	0.0886704152	2.5000494643	4.9630507481	0.0910070804	2.5082894689	4.9810486617	2.5275005012	5.0229888149	0.0886957953	0.1190026223	0.0942907866	2.4751873963	4.9087135819	12.6895614139	13.1301508995	15.2190005130	17.8569606019	-0.0028761281	-0.0027015999	-0.0025684508	0.4429862986	0.4402228702	0.2001651415	0.2054399440	0.2002224349
09	0.0120681002	-0.0047126383	112.0000000000	0.0887409443	2.4774063341	4.8885767153	0.0915179101	2.4928671831	4.9221613509	2.5429347662	5.0307915970	0.0891546564	0.1215011947	0.0944325670	2.5031469679	4.9444809629	12.6981997712	21.5395644392	15.3903308255	18.0579881686	-0.0028781309	-0.0027413069	-0.0026150261	0.4379857986	0.4332731603	0.2026114650	0.2089517751	0.2035560438
10	0.0008692189	-0.0029486321	111.0000000000	0.1023996908	2.5003486961	4.4876605476	0.1053785139	2.5057609538	4.4981470897	2.5242371557	4.5339331942	0.1024389779	0.1409001382	0.1085798097	2.4770480062	4.4424948359	17.3733112112	14.0493131578	20.4051554011	23.9420490039	-0.0039745100	-0.0039169837	-0.0039940868	0.3549774977	0.3520288656	0.2884681183	0.2968597010	0.2885787930
11	-0.0035921185	-0.0020058828	111.0000000000	0.1051105517	2.4997826793	4.4573502585	0.1077905314	2.5066403809	4.4705365704	2.5220739721	4.5002034339	0.1051398462	0.1401537386	0.1128811062	2.5008772647	4.4594551559	18.3316546746	10.7968754985	21.3499564759	25.0506155984	-0.0042531066	-0.0041915985	-0.0043163723	0.3499769977	0.3479711149	0.3003356003	0.3079931886	0.3004193045
12	0.0103153194	-0.0038365756	111.0000000000	0.1107923800	2.4999042743	4.4281054708	0.1136281435	2.5054136683	4.4386179209	2.5189746266	4.4644864704	0.1108214424	0.1439951799	0.1173154435	2.5298785974	4.4852794253	20.3975167169	17.0398730593	23.7250747685	27.8374210617	-0.0048628365	-0.0048924792	-0.0051390358	0.3449764976	0.3411399220	0.3211592117	0.3293793759	0.3212434561
13	0.0012942181	-0.0040102682	111.0000000000	0.0996716539	2.5000842694	3.9573229525	0.1029878348	2.5142529804	3.9810959087	2.5321795099	4.0111630905	0.0997145052	0.1289141226	0.1060302851	2.5408986654	4.0257829492	16.8734555833	17.6205682193	19.4898107930	22.8680446638	-0.0038055690	-0.0036217302	-0.0036469419	0.2709690969	0.2669588287	0.3678340263	0.3800722517	0.3679921670
14	-0.0026432844	-0.0033547101	111.0000000000	0.0974641524	2.4997954734	3.9223352251	0.1009385374	2.5156500761	3.9486761207	2.5355749516	3.9817663621	0.0975139926	0.1258667143	0.1051234200	2.5333248727	3.9780302598	16.1577904130	15.9054661803	18.7218940244	21.9670223219	-0.0035322321	-0.0033286384	-0.0033030151	0.2659685969	0.2626138868	0.3664498499	0.3795129898	0.3666372412
15	0.0075694325	-0.0051391567	111.0000000000	0.0977042703	2.5002450246	3.8881839893	0.1010568969	2.5059871292	3.8976298344	2.5334105157	3.9427254849	0.0977508623	0.1271403178	0.1072770968	2.5743801914	4.0100484469	16.2618660339	20.4980356636	18.7658259762	22.0185691454	-0.0035726982	-0.0033457065	-0.0033230397	0.2609680968	0.2558289401	0.3743916268	0.3872385098	0.3745701619
16	0.0024947578	-0.0054490115	113.0000000000	0.1064102273	2.4551688414	3.7445017690	0.1119242263	2.5049019622	3.8246859417	2.5613256176	3.9155557089	0.1073827379	0.1327833063	0.1172704011	2.5857707311	3.9548925382	19.2929916731	21.2748950957	23.0188683787	27.0088055644	-0.0047743223	-0.0050302476	-0.0052993940	0.2509670967	0.2455180852	0.4240007106	0.4459717142	0.4278757626
17	-0.0035657840	-0.0044914817	120.0000000000	0.0956129621	2.3129284203	3.4817289708	0.1067667482	2.4996850135	3.7801609862	2.5933035633	3.9293075676	0.0993422195	0.1288740899	0.1113368752	2.5187783617	3.8106017465	15.4523177109	18.9709597060	20.9463231227	24.5770191306	-0.0031824888	-0.0041703516	-0.0042893440	0.2459665967	0.2414751150	0.3887233606	0.4340701121	0.4038850025
