nivel,grupo,x,y,n,r,p_value
GLOBAL,ALL,Salinidad (PSU),Temperatura (°C),106,-0.4213066471904372,6.879907520531209e-06
GLOBAL,ALL,Salinidad (PSU),DIC (µmol/kg),106,-0.571930706556553,1.5144104023765114e-10
